municipality,cz,size
42213,347,22726
42214,347,23736
42307,345,10401
42308,345,7048
42321,346,4410
42322,346,5903
42323,346,7255
42383,352,1929
42391,346,4467
42411,351,11836
43100,353,239068
43202,354,60380
43203,355,17077
43204,334,22101
43205,356,14208
43206,334,28868
43208,334,26596
43210,353,21544
43211,354,13098
43212,357,14077
43213,354,25321
43214,358,13767
43215,359,45171
43216,353,12058
43348,353,5921
43364,334,2816
43367,334,5121
43368,334,6402
43369,334,5839
43403,353,8656
43404,353,7785
43423,360,2245
43424,360,4416
43425,358,838
43428,358,3750
43432,353,2181
43433,358,5131
43441,353,6941
43442,353,3065
43443,353,9660
43444,353,5501
43447,361,11136
43468,354,6283
43482,356,10975
43484,356,2237
43501,355,4566
43505,355,5998
43506,355,2406
43507,355,1364
43510,355,2576
43511,362,1303
43512,355,1814
43513,355,3074
43514,355,8197
43531,359,4055
44201,363,145343
44202,363,51542
44203,338,32697
44204,339,34089
44205,364,35078
44206,364,19830
44207,364,11202
44208,365,15180
44209,338,12027
44210,363,13399
44211,338,25013
44212,365,21909
44213,363,12973
44214,366,16127
44322,367,1273
44341,363,8181
44461,368,5753
44462,368,8635
45201,369,132668
45202,370,68274
45203,371,58683
45204,372,29416
45205,373,22193
45206,371,25489
45207,372,11377
45208,369,16137
45209,373,10961
45341,370,7193
45361,373,5008
45382,369,8875
45383,369,3078
45401,369,8700
45402,369,7198
45403,374,942
45404,369,2629
45405,371,7949
45406,371,5910
45421,371,6953
45429,375,1504
45430,374,2190
45431,375,4452
45441,376,8052
45442,376,3295
45443,361,2643
46201,377,202374
46203,378,37643
46204,379,10838
46206,380,11136
46208,380,22510
46210,381,20877
46213,382,9134
46214,377,8460
46215,383,39396
46216,377,20231
46217,370,20676
46218,377,37960
46219,383,13154
46220,379,18638
46221,378,15200
46222,384,20483
46223,379,20604
46224,385,14765
46225,377,22682
46303,386,176
46304,387,371
46392,383,12753
46404,388,6110
46452,377,5664
46468,378,6771
46482,378,3219
46490,389,5020
46491,389,5135
46492,378,8558
46501,390,5084
46502,390,3344
46505,391,5479
46523,384,814
46524,392,849
46525,393,4544
46527,384,2095
46529,394,3341
46530,395,4963
46531,395,2591
46532,395,3251
46533,396,3459
46534,396,2876
46535,397,2538
47201,398,100977
47205,398,20528
47207,399,13839
47208,398,24094
47209,400,15889
47210,398,13429
47211,398,29671
47212,398,11094
47213,398,29068
47214,401,19082
47215,398,11233
47301,400,2320
47302,400,1165
47303,400,742
47306,400,3416
47308,400,5347
47311,398,2872
47313,402,1418
47314,402,3369
47315,403,1898
47324,398,8328
47325,398,4441
47326,398,4838
47327,398,4079
47328,398,3504
47329,398,5448
47348,398,4096
47350,398,6729
47353,404,358
47354,405,313
47355,406,260
47356,407,203
47357,408,727
47358,409,310
47359,410,533
47360,411,693
47361,412,3451
47362,398,6220
47375,401,520
47381,399,1529
47382,413,673
